Id,Name,Team,Position,Price,Week,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointRating,PointsInLastFive,MinutesInLastFive,GoalsInLastFive,xGoalsInLastFive,xAssistsInLastFive,CleanSheetsInLastFive,GoalsConcededInLastFive,xGoalsConcededInLastFive,SavesInLastFive,BonusPointsInLastFive,BonusPointsRatingInLastFive,Opponent,OpponentGoalsScored,OpponentGoalsConceded,OpponentGoalsScoredInLastFive,OpponentGoalsConcededInLastFive,ActualPoints
144,Van Hecke,Brighton,Defender,4.5,6,19,450,0,1,0.05,0.13,2,4,5.84,0,0,89,19,450,1,0.05,0.13,2,4,5.84,0,0,89,Chelsea,15,7,15,5,0
145,Veltman,Brighton,Defender,4.5,6,20,431,0,0,0.05,0.49000000000000005,2,4,4.89,0,4,85,20,431,0,0.05,0.49000000000000005,2,4,4.89,0,4,85,Chelsea,15,7,15,5,0
146,Verbruggen,Brighton,Goalkeeper,4.5,6,10,270,0,0,0,0,1,3,3.96,9,0,50,10,270,0,0,0,1,3,3.96,9,0,50,Chelsea,15,7,15,5,0
147,Webster,Brighton,Defender,4.4,6,1,14,0,0,0,0.02,0,0,0,0,0,9,1,14,0,0,0.02,0,0,0,0,0,9,Chelsea,15,7,15,5,-1
148,Welbeck,Brighton,Forward,5.8,6,31,426,3,1,1.96,0.26,2,4,5.73,0,7,115,31,426,1,1.96,0.26,2,4,5.73,0,7,115,Chelsea,15,7,15,5,2
149,Wieffer,Brighton,Midfielder,4.9,6,7,118,0,1,0,0.03,1,1,1.12,0,0,24,7,118,1,0,0.03,1,1,1.12,0,0,24,Chelsea,15,7,15,5,1
595,Gruda,Brighton,Midfielder,5.4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chelsea,15,7,15,5,0
600,Ayari,Brighton,Midfielder,5,6,7,165,0,0,0.52,0.39,1,1,2.3200000000000003,0,0,23,7,165,0,0.52,0.39,1,1,2.3200000000000003,0,0,23,Chelsea,15,7,15,5,1
618,Georginio,Brighton,Midfielder,5.5,6,7,155,0,0,0.8500000000000001,0.16,1,2,2.7800000000000002,0,0,10,7,155,0,0.8500000000000001,0.16,1,2,2.7800000000000002,0,0,10,Chelsea,15,7,15,5,7
628,F.Kadıoglu,Brighton,Defender,4.5,6,1,23,0,0,0.03,0.02,0,0,0.14,0,0,5,1,23,0,0.03,0.02,0,0,0.14,0,0,5,Chelsea,15,7,15,5,0
