Name,Team,Position,Goals,Assists,Clean Sheets,Goals Conceded
McGinn,Midfielder,Aston Villa,0,0,0,9
McNeil,Midfielder,Everton,0,0,0,5
Robinson,Defender,Fulham,0,0,1,7
Tsimikas,Defender,Liverpool,0,2,0,0
Ward,Defender,Crystal Palace,0,0,1,7
Yates,Midfielder,Nottm Forest,0,1,0,10
Zemura,Defender,Bournemouth,0,0,2,14
Benrahma,Midfielder,West Ham,0,0,0,7
Darwin,Forward,Liverpool,1,1,1,2
Henderson,Midfielder,Liverpool,0,0,1,5
Hickey,Defender,Brentford,0,0,1,8
Hwang,Midfielder,Wolves,0,1,0,3
Isak,Forward,Newcastle,1,0,1,1
Jansson,Defender,Brentford,0,0,1,7
Lewis-Potter,Midfielder,Brentford,0,1,0,3
Loftus-Cheek,Midfielder,Chelsea,0,0,0,9
Mateta,Forward,Crystal Palace,1,0,1,2
McTominay,Midfielder,Man Utd,0,0,2,4
O'Brien,Midfielder,Nottm Forest,0,0,1,9
Smith,Defender,Bournemouth,0,0,2,14
Bamford,Forward,Leeds,0,1,0,4
Coutinho,Midfielder,Aston Villa,0,0,1,3
Elyounoussi,Midfielder,Southampton,0,0,0,6
Justin,Defender,Leicester,0,1,0,16
Lallana,Midfielder,Brighton,0,0,2,1
Moutinho,Midfielder,Wolves,0,0,2,1
Partey,Midfielder,Arsenal,0,0,2,2
Travers,Goalkeeper,Bournemouth,0,0,1,16
Ward,Goalkeeper,Leicester,0,0,0,16
Worrall,Defender,Nottm Forest,0,0,1,14
Bruno Guimarães,Midfielder,Newcastle,0,0,2,3
Dendoncker,Midfielder,Aston Villa,0,0,1,3
James,Midfielder,Fulham,0,0,1,3
Konsa,Defender,Aston Villa,0,0,0,9
Mara,Forward,Southampton,0,1,0,1
McKenna,Defender,Nottm Forest,0,0,1,14
Niakhaté,Defender,Nottm Forest,0,0,1,2
Olise,Midfielder,Crystal Palace,0,0,1,1
